LOG_NO,by_year_complaint_date,ASSIGNMENT,CURRENT_STATUS,CURRENT_CATEGORY
25,01/01/2021 12:00:00 AM,COPA,Non-Concurrence Pending,Closed-No Allegation
27,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Improper Search or Seizure
8,01/01/2022 12:00:00 AM,COPA,Supervising Investigator Review,In Process-Allegation Pending
1,01/01/2019 12:00:00 AM,COPA,Complainant Unknown,Closed-No Allegation
10,01/01/2023 12:00:00 AM,COPA,Referred,Closed-No Allegation
109,01/01/2022 12:00:00 AM,COPA,Pending Civil Suit,Closed-No Allegation
27,01/01/2022 12:00:00 AM,COPA,Close Hold,Closed-No Allegation
94,01/01/2020 12:00:00 AM,COPA,Concurrence,Closed-No Allegation
1,01/01/2021 12:00:00 AM,COPA,Administrative Termination,Closed-No Allegation
4,01/01/2019 12:00:00 AM,COPA,Closed,Firearm Discharge at Animal
3,01/01/2022 12:00:00 AM,COPA,Mediated,Closed-No Allegation
9,01/01/2021 12:00:00 AM,COPA,Deputy Chief Review,In Process-Allegation Pending
357,01/01/2021 12:00:00 AM,COPA,Non-Disciplinary Closure,Closed-No Allegation
64,01/01/2021 12:00:00 AM,COPA,Concurrence,Closed-No Allegation
330,01/01/2022 12:00:00 AM,COPA,Administratively Closed,Closed-No Allegation
161,01/01/2023 12:00:00 AM,COPA,Pending Superintendent Review,Closed-No Allegation
67,01/01/2019 12:00:00 AM,COPA,Concurrence,Closed-No Allegation
1,01/01/2019 12:00:00 AM,COPA,Pending DOL Review,Sexual Misconduct
4,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Firearm Discharge-Accidental
92,01/01/2020 12:00:00 AM,COPA,Pending Superintendent Review,Closed-No Allegation
25,01/01/2023 12:00:00 AM,COPA,Closed Final,Closed-No Allegation
68,01/01/2023 12:00:00 AM,COPA,Closed - Duplicate,Closed-No Allegation
6,01/01/2021 12:00:00 AM,COPA,NULL,Closed-No Allegation
2,01/01/2019 12:00:00 AM,COPA,Within Policy,Closed-No Allegation
163,01/01/2021 12:00:00 AM,COPA,Pending Civil Suit,Closed-No Allegation
34,01/01/2019 12:00:00 AM,COPA,Closed,Excessive Force
88,01/01/2019 12:00:00 AM,COPA,Close Hold,Closed-No Allegation
1,01/01/2023 12:00:00 AM,COPA,Pending Investigator Assignment,In Process-Allegation Pending
1,01/01/2023 12:00:00 AM,COPA,Mediation Attempted - Withdrawal by Complainant,Closed-No Allegation
68,01/01/2020 12:00:00 AM,COPA,Close Hold,Closed-No Allegation
320,01/01/2019 12:00:00 AM,COPA,Non-Disciplinary Closure,Closed-No Allegation
3,01/01/2023 12:00:00 AM,COPA,NULL,In Process-Allegation Pending
2,01/01/2021 12:00:00 AM,COPA,Within Policy,Closed-No Allegation
8,01/01/2019 12:00:00 AM,COPA,Closed,Verbal Abuse
68,01/01/2019 12:00:00 AM,COPA,NULL,Closed-No Allegation
1,01/01/2023 12:00:00 AM,COPA,Mediation Attempted - Terminated by Mediator,Closed-No Allegation
81,01/01/2023 12:00:00 AM,COPA,Supervising Investigator Review,In Process-Allegation Pending
4,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Failure to Provide Proper Care in Custody
67,01/01/2020 12:00:00 AM,COPA,NULL,Closed-No Allegation
1,01/01/2019 12:00:00 AM,COPA,Closed,Taser Discharge-Injury or Death
16,01/01/2023 12:00:00 AM,COPA,Deputy Chief Review,In Process-Allegation Pending
4,01/01/2021 12:00:00 AM,COPA,Interviewing Accused Members,In Process-Allegation Pending
17,01/01/2023 12:00:00 AM,COPA,Investigator Assigned,In Process-Allegation Pending
299,01/01/2022 12:00:00 AM,COPA,Non-Disciplinary Closure,Closed-No Allegation
1,01/01/2022 12:00:00 AM,COPA,Interviewing Witnesses,In Process-Allegation Pending
398,01/01/2023 12:00:00 AM,COPA,Closed No Allegations - Insufficient Object Evidence,Closed-No Allegation
19,01/01/2023 12:00:00 AM,COPA,Waiting on Evidence,In Process-Allegation Pending
23,01/01/2020 12:00:00 AM,COPA,Supervising Investigator Review,In Process-Allegation Pending
1,01/01/2021 12:00:00 AM,COPA,Closed Penalty Served,Closed-No Allegation
1,01/01/2022 12:00:00 AM,COPA,Closed Penalty Served,Closed-No Allegation
373,01/01/2021 12:00:00 AM,COPA,Administratively Closed,Closed-No Allegation
60,01/01/2023 12:00:00 AM,COPA,Pending Civil Suit,Closed-No Allegation
71,01/01/2021 12:00:00 AM,COPA,Closed No Allegations - Insufficient Object Evidence,Closed-No Allegation
1,01/01/2023 12:00:00 AM,COPA,Within Policy,Closed-No Allegation
33,01/01/2021 12:00:00 AM,COPA,No Affidavit,Closed-No Allegation
7,01/01/2019 12:00:00 AM,COPA,Closed,Coercion
339,01/01/2019 12:00:00 AM,COPA,Administratively Closed,Closed-No Allegation
47,01/01/2020 12:00:00 AM,COPA,Administrative Termination,Closed-No Allegation
23,01/01/2023 12:00:00 AM,COPA,Interviewing Witnesses,In Process-Allegation Pending
19,01/01/2023 12:00:00 AM,COPA,Requesting Evidence,In Process-Allegation Pending
571,01/01/2019 12:00:00 AM,COPA,Closed Final,Closed-No Allegation
171,01/01/2022 12:00:00 AM,COPA,Pending Superintendent Review,Closed-No Allegation
4,01/01/2019 12:00:00 AM,COPA,Closed Penalty Served,Closed-No Allegation
5,01/01/2020 12:00:00 AM,COPA,Complainant Unknown,Closed-No Allegation
2,01/01/2023 12:00:00 AM,COPA,Referred to BIA,In Process-Allegation Pending
41,01/01/2021 12:00:00 AM,COPA,No Affidavit/No Conversion,Closed-No Allegation
6,01/01/2019 12:00:00 AM,COPA,Closed,Miscellaneous Notification
1,01/01/2022 12:00:00 AM,COPA,Director of Investigations Review,In Process-Allegation Pending
560,01/01/2020 12:00:00 AM,COPA,Non-Disciplinary Closure,Closed-No Allegation
222,01/01/2020 12:00:00 AM,COPA,No Affidavit,Closed-No Allegation
53,01/01/2023 12:00:00 AM,COPA,Interviewing Accused Members,In Process-Allegation Pending
