LOG_NO,by_year_complaint_date,CURRENT_STATUS,FINAL_CATEGORY
3,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
3,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Gender
2,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property Failed to Issue Receipt
1,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Workplace Violence
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Insubordination
1,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Criminal Allegation Non-Aggravated
1,01/01/2023 12:00:00 AM,Administrative Closure Review,
1,01/01/2020 12:00:00 AM,Case Final,Excessive Force Unnecessary Exhibition of Weapon Non Pointing
35,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents
3,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest Planting Item - Person Firearm
2,01/01/2022 12:00:00 AM,Command Channel Review,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
4,01/01/2023 12:00:00 AM,Case Final,Excessive Force Unnecessary Physical Contact
2,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Other Felony
1,01/01/2021 12:00:00 AM,Advocate Review,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
1,01/01/2020 12:00:00 AM,Case Final,Bribery/Official Corruption An Act of Circumvent Criminal Prosecution
4,01/01/2023 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Search Person Protective Pat Down
1,01/01/2022 12:00:00 AM,Administratively Closed,Medical Integrity Violation of Medical Restriction
1,01/01/2023 12:00:00 AM,Command Channel Review,Sexual Misconduct Improper Sexual Conduct
495,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Inadequate/Failure to Provide Service
3,01/01/2023 12:00:00 AM,Case Final,Crime Misconduct Damage/Trespassing to Property
32,01/01/2021 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
1,01/01/2020 12:00:00 AM,OLA Review,Conduct Unbecoming Violations Residency
2,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Disability
4,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
33,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Equipment/Supplies
30,01/01/2023 12:00:00 AM,Under District Investigation,Verbal Abuse Profanity
4,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Damage/Trespassing to Property
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Slow/ No Response
1,01/01/2019 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
11,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Misuse of Department Records
7,01/01/2022 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Direct Subordinate
2,01/01/2020 12:00:00 AM,Case Final,Search Warrants Missing Property
4,01/01/2023 12:00:00 AM,Advocate Review,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
2,01/01/2021 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident No Physical Abuse Violation of Court Order
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Crime Misconduct Sexual Misconduct Sexual Assault Non-Aggravated
2,01/01/2022 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Weapon Discharge Firearm Animal Fatal
3,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Other
2,01/01/2021 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Initiate Proper Action
4,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Traffic Pursuit No Injury
7,01/01/2022 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Vehicle No Damage
1,01/01/2019 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altering Official Documents Department
1,01/01/2021 12:00:00 AM,OLA Review,Medical Integrity Working while on the Medical/IOD
1,01/01/2022 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
3,01/01/2023 12:00:00 AM,Case Final,Civil Rights Violation Profiling
3,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
2,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Failure to Identify
1,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations EEO Investigations Sexual Harassment
21,01/01/2023 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports
12,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Abuse of Authority
2,01/01/2020 12:00:00 AM,Advocate Review,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
1,01/01/2021 12:00:00 AM,Case Final,Arrest/Lockup Incidents Search Person / Property
4,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Secondary / Special Employment
18,01/01/2023 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
28,01/01/2021 12:00:00 AM,Administratively Closed,
1,01/01/2023 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Impairment .04 - .079
1,01/01/2020 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Escape
2,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse Non-Serious Bodily Injury Involving a Minor
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Weapon Irregularity
28,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Abuse of Authority
3,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Absent without Permission
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Weapon Lost/Stolen Weapon
1,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Conspiracy to Commit a Crime
6,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Equipment Irregularity
3,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Slow/ No Response
2,01/01/2021 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Intoxicated
5,01/01/2023 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Search Premise Missing Property
1,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Judicial Process Perjury
4,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports Improper
7,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports Fail to Submit
1,01/01/2022 12:00:00 AM,Case Final,Excessive Force Unnecessary Exhibition of Weapon Pointing
3,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Misuse of Department Records
8,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Hostile Work Environment
3,01/01/2022 12:00:00 AM,Case Final,Excessive Force No Weapon Non-Serious Bodily Injury
2,01/01/2023 12:00:00 AM,Administratively Closed,Medical Integrity Medical Role Violation
2,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force No Weapon No Injury
53,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents Search Person / Property
5,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Racial
2,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Insubordination
6,01/01/2021 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Slow/ No Response
1,01/01/2020 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest
1,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Political Activity
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Civil Rights Violation First Amendment Filming Police Activity
1,01/01/2021 12:00:00 AM,Case Final,Supervisory Responsibilities Initiate Proper Action
2,01/01/2022 12:00:00 AM,Under BIA Investigation,"Crime Misconduct Assault/Battery, etc."
1,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Bonding
1,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Sex Offense Other Criminal
469,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations
6,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
2,01/01/2020 12:00:00 AM,Under District Investigation,Excessive Force No Weapon Non-Serious Bodily Injury
3,01/01/2023 12:00:00 AM,Administratively Closed,Alcohol/Drug Abuse Intoxicated
2,01/01/2021 12:00:00 AM,Advocate Review,Supervisory Responsibilities Properly Direct Subordinate
1,01/01/2020 12:00:00 AM,Case Final,Drugs/Substance Abuse D.U.I
3,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Other
35,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Verbal Abuse Profanity
5,01/01/2023 12:00:00 AM,Under BIA Investigation,Crime Misconduct Other Felony
24,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Equipment/Supplies
4,01/01/2023 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
8,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Damage/Trespassing to Property
2,01/01/2019 12:00:00 AM,Case Final,"Crime Misconduct Assault/Battery, etc."
2,01/01/2019 12:00:00 AM,Case Final,Alcohol/Drug Abuse
2,01/01/2023 12:00:00 AM,OLA Review,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
4,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance
3,01/01/2021 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Misuse of Department Equipment/Supplies
4,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports
12,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Other Felony
2,01/01/2019 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen Specimen
12,01/01/2021 12:00:00 AM,Case Final,Alcohol/Drug Abuse Intoxicated
1,01/01/2019 12:00:00 AM,Case Final,Medical Integrity Working while on the Medical/IOD
79,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inadequate/Failure to Provide Service
6,01/01/2021 12:00:00 AM,Case Final,"Crime Misconduct Assault/Battery, etc."
1,01/01/2021 12:00:00 AM,Administratively Closed,Bribery/Official Corruption Use of Official Position
2,01/01/2021 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Not at Home
6,01/01/2019 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury With No Hits
3,01/01/2020 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
12,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Equipment/Supplies
3,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Records
1,01/01/2022 12:00:00 AM,Case Final,Drugs/Substance Abuse D.U.I
4,01/01/2023 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Search Property
3,01/01/2019 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force)
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Lock Up Incident Non-Serious Bodily Injury
11,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
1,01/01/2022 12:00:00 AM,Command Channel Review,Sexual Misconduct Improper Sexual Conduct Verbal Minor
1,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports
1,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Equipment Irregularity
14,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
3,01/01/2020 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations
3,01/01/2023 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Search Wrong Address
24,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
9,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Arrest Miranda Rights Communicated
1,01/01/2019 12:00:00 AM,Under District Investigation,
12,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse No Injury Not Involving a Minor
10,01/01/2023 12:00:00 AM,Under BIA Investigation,Excessive Force No Weapon No Injury
4,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
2,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Unfit for Duty
3,01/01/2023 12:00:00 AM,Under BIA Investigation,Verbal Abuse Allegations of Bias
18,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force No Weapon No Injury
21,01/01/2023 12:00:00 AM,Under BIA Investigation,Verbal Abuse Profanity
1,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Insubordination
30,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Slow/ No Response
7,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Hostile Work Environment
1,01/01/2021 12:00:00 AM,Administratively Closed,Civil Rights Violation First Amendment Demonstration Related
5,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports Fail to Submit
1,01/01/2020 12:00:00 AM,Administratively Closed,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
7,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Reports
3,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Association with Felon
19,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment
3,01/01/2022 12:00:00 AM,Case Final,Excessive Force No Weapon
1,01/01/2022 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Money Failed to Issue Receipt
13,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2019 12:00:00 AM,OLA Review,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2019 12:00:00 AM,Administratively Closed,Excessive Force No Weapon Serious Bodily Injury
3,01/01/2021 12:00:00 AM,Case Final,Drugs/Substance Abuse D.U.I
1,01/01/2022 12:00:00 AM,Advocate Review,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
10,01/01/2022 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
1,01/01/2022 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse No Injury Involving a Minor
2,01/01/2022 12:00:00 AM,Under BIA Investigation,Crime Misconduct Sexual Misconduct Criminal Allegation Aggravated
2,01/01/2022 12:00:00 AM,Command Channel Review,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
2,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Lock Up Incident Non-Serious Bodily Injury
4,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force Unnecessary Exhibition of Weapon Non Pointing
25,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Reports
2,01/01/2020 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
1,01/01/2022 12:00:00 AM,Case Final,Alcohol/Drug Abuse Impairment .04 - .079
13,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Records
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Domestic Incidents Domestic Incident - Physical Abuse Non-Serious Bodily Injury Not Involving a Minor
26,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Harassment Allegations of Bias
17,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Other
3,01/01/2023 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Search Property
1,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Lunch/Personal Violations
1,01/01/2022 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Arrest
4,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports
1,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
3,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Equipment Irregularity
12,01/01/2022 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
2,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Misuse of Department Equipment/Supplies
28,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Harassment Allegations of Bias
3,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
5,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
17,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Vehicle No Damage
12,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Hostile Work Environment
18,01/01/2021 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2019 12:00:00 AM,Case Final,Drugs/Substance Abuse Positive Drug Screen Recruit
4,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
1,01/01/2021 12:00:00 AM,Case Final,Domestic Incidents Domestic Incident - No Physical Abuse Violation of Court Order Involving a Minor
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Crime Misconduct Police Impersonator - (Advocate Section use only)
1,01/01/2023 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
2,01/01/2023 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Altercation/Disturbance Other
3,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Failure to Identify
1,01/01/2020 12:00:00 AM,OLA Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest Planting Item - Person Controlled Substance
97,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2019 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident No Physical Abuse Miscellaneous
3,01/01/2022 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Prisoner's Property
1,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Weapon Lost/Stolen Weapon
1,01/01/2022 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
3,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
17,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2022 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Altercation/Disturbance Other
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Employment Action - Shakman Decree
1,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Vehicle Licensing State
2,01/01/2019 12:00:00 AM,Advocate Review,Search Warrants Damage Property
6,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Slow/ No Response
2,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations EEO Investigations Racial
2,01/01/2020 12:00:00 AM,Command Channel Review,Supervisory Responsibilities Properly Direct Subordinate
28,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Slow/ No Response
1,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Other Misdemeanor Arrest
6,01/01/2020 12:00:00 AM,Administrative Closure Review,
20,01/01/2020 12:00:00 AM,Under BIA Investigation,
1,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Robbery
2,01/01/2021 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen Specimen
54,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations
1,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altering Official Documents
7,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct Other Misdemeanor Arrest
1,01/01/2022 12:00:00 AM,Case Final,Excessive Force Unnecessary Exhibition of Weapon
33,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2019 12:00:00 AM,Case Final,Bribery/Official Corruption
3,01/01/2023 12:00:00 AM,Advocate Review,Verbal Abuse Profanity
12,01/01/2021 12:00:00 AM,Administratively Closed,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,Administratively Closed,Medical Integrity Medical Role Violation Not at Home
1,01/01/2022 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
1,01/01/2021 12:00:00 AM,Command Channel Review,Medical Integrity Medical Role Violation Unauthorized Location
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Disability
6,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Failure to Identify
4,01/01/2023 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Prisoner's Property
1,01/01/2022 12:00:00 AM,Administratively Closed,"Crime Misconduct Drugs/Controlled Substance, Possession or Sale"
1,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Police Impersonator - (Advocate Section use only)
