fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,5,SALARIES AND WAGES - ON PAYROLL,116946046.0,2019,Chicago Department of Aviation
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,152,ADVERTISING,13500.0,2019,Chicago Department of Public Health
LOCAL,0300,VEHICLE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,8000.0,2019,Chicago Department of Transportation
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,270,LOCAL TRANSPORTATION,250.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9121,LOBBYIST COSTS,480000.0,2019,Finance General
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,178,FREIGHT AND EXPRESS CHARGES,4001.0,2019,Chicago Public Library
GRANTS,0Z71,BJA BODY WORN CAMERAS,57,CPD,280H,BJA Body Worn Cameras,140,PROFESSIONAL AND TECHNICAL SERVICES,605000.0,2019,Chicago Police Department
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,2648415.0,2019,Finance General
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1485.0,2019,Office of Inspector General
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,15,SCHEDULE SALARY ADJUSTMENTS,53222.0,2019,Department of Business Affairs and Consumer Protection
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2817,DISABLED YOUTH EMPLOYMENT PROG,330,FOOD,3250.0,2019,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,130,POSTAGE,200.0,2019,Chicago Department of Transportation
LOCAL,0300,VEHICLE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,772628.0,2019,Department of Fleet and Facility Management
GRANTS,0X63,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,140,PROFESSIONAL AND TECHNICAL SERVICES,27640.0,2019,Chicago Department of Public Health
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,5,SALARIES AND WAGES - ON PAYROLL,2163784.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,270,LOCAL TRANSPORTATION,9774.0,2019,Mayor's Office for People with Disabilities
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,393417.0,2019,Finance General
LOCAL,0200,WATER FUND,38,FFM,2140,FLEET OPERATIONS,161,MAINT FACILITIES,50000.0,2019,Department of Fleet and Facility Management
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,270,LOCAL TRANSPORTATION,1000.0,2019,Department of Family and Support Services
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,162,REPAIR/MAINT EQUIPMENT,100.0,2019,Department of Law
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,197,TELEPHONE - MAINTENANCE,1310.0,2019,Department of Planning and Development
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,446,PURCHASE - DATA HARDWARE,1739600.0,2019,Chicago Department of Aviation
LOCAL,0200,WATER FUND,35,DPS,2005,PROCUREMENT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,1834.0,2019,Department of Procurement Services
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,340,MATERIAL AND SUPPLIES,1246884.0,2019,Chicago Fire Department
GRANTS,0T88,LONG TERM CARE SYSTEM DEVELOPMENT,50,DFSS,2820,LONGTERM CARE SYSTEM DEVELOP,140,PROFESSIONAL AND TECHNICAL SERVICES,3000.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,152,ADVERTISING,9000.0,2019,Department of Human Resources
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,348,BOOKS AND RELATED MATERIAL,6435.0,2019,Chicago Fire Department
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,180.0,2019,Office of Inspector General
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,5,SALARIES AND WAGES - ON PAYROLL,971163.0,2019,Chicago Department of Transportation
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,5,SALARIES AND WAGES - ON PAYROLL,1486586.0,2019,Department of Procurement Services
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,154,RENTAL-DATA HARDWARE EQ,4000.0,2019,Office of Emergency Management and Communications
GRANTS,0Y47,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,44,FRINGE BENEFITS,798750.0,2019,Department of Family and Support Services
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,149,SOFTWARE MAINTENANCE AND LICENSING,7311.0,2019,Department of Law
GRANTS,0V58,BODY WORN CAMERAS,57,CPD,280H,BJA Body Worn Cameras,140,PROFESSIONAL AND TECHNICAL SERVICES,99000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,190,TELEPHONE - NON-CENTREX BILLINGS,116300.0,2019,Chicago Department of Public Health
LOCAL,0740,O HARE REVENUE FUND,58,OEMC,2705,OEMC,319,CLOTHING,13695.0,2019,Office of Emergency Management and Communications
LOCAL,0610,MIDWAY AIRPORT FUND,57,CPD,1005,Chicago Police Department,70,TUITION REIMBURSEMENT,30000.0,2019,Chicago Police Department
GRANTS,0Z27,LABOR MANAGEMENT COOPERATION,5,OBM,2820,Labor Management Cooperation,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.0,2019,Office of Budget and Management
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,91,UNIFORM ALLOWANCE,22500.0,2019,Department of Streets and Sanitation
GRANTS,0V61,URBAN AREA SECURITY INITIATIVE,58,OEMC,2811,URBAN AREA SECURITY INITIATIVE,140,PROFESSIONAL AND TECHNICAL SERVICES,36580641.0,2019,Office of Emergency Management and Communications
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,657795.0,2019,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,81,DSS,2020,BUREAU OF SANITATION,20,OVERTIME,20000.0,2019,Department of Streets and Sanitation
GRANTS,0Y30,AREA PLAN ON AGING - PROGRAM INCOME,50,DFSS,2801,OAA NUTRITION PGM INCOME,140,PROFESSIONAL AND TECHNICAL SERVICES,445000.0,2019,Department of Family and Support Services
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,20,OVERTIME,1134.0,2019,Department of Law
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,270,LOCAL TRANSPORTATION,200.0,2019,Chicago Department of Transportation
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJUSTMENTS,3331.0,2019,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,196,DATA CIRCUITS,1110885.0,2019,Chicago Public Library
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,365,ELECTRICAL SUPPLIES,21100.0,2019,Chicago Department of Transportation
LOCAL,0200,WATER FUND,88,DWM,2005,COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPLIES,14500.0,2019,Department of Water Management
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,401,TOOL <= $100 UNIT,50000.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,189,TELEPHONE - NON-CENTREX BILLINGS,148800.0,2019,Chicago Fire Department
LOCAL,0300,VEHICLE FUND,81,DSS,2020,BUREAU OF SANITATION,150,PUBLICATN & REPRODT-OUT,30000.0,2019,Department of Streets and Sanitation
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,350,STATIONERY AND OFFICE SUPPLIES,6350.0,2019,Department of Housing
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,15,SCHEDULE SALARY ADJUSTMENTS,14880.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,421,MACHINERY AND EQUIPMENT,160000.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,166,DUES  SUBSC & MEM,300.0,2019,Department of Streets and Sanitation
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,270,LOCAL TRANSPORTATION,300.0,2019,Chicago Police Board
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,340,MATERIAL AND SUPPLIES,10951.0,2019,Department of Planning and Development
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9143,WORKFORCE SERVICES  TARGET POPULATION,177000.0,2019,Department of Family and Support Services
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,348,BOOKS AND RELATED MATERIAL,903.0,2019,Department of Law
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,150,PUBLICATN & REPRODT-OUT,567.0,2019,Department of Law
GRANTS,0U56,DATING MATTERS,41,HEALTH,2713,DATING MATTERS,140,PROFESSIONAL AND TECHNICAL SERVICES,20000.0,2019,Chicago Department of Public Health
GRANTS,0819,ACCESS CHICAGO SUP,48,MOPD,2802,ACCESS CHICAGO SUPPORT,152,ADVERTISING,9000.0,2019,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,130,POSTAGE,200.0,2019,Chicago Department of Transportation
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,43000.0,2019,City Council
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,190,TELEPHONE - NON-CENTREX BILLINGS,5600.0,2019,Department of Procurement Services
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,135,DELEGATE AGENCIES,200000.0,2019,Mayor's Office for People with Disabilities
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1341783.0,2019,Finance General
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,350,STATIONERY AND OFFICE SUPPLIES,75000.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,150,PUBLICATN & REPRODT-OUT,1427.0,2019,Chicago Animal Care and Control
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,44,FRINGE BENEFITS,330213.0,2019,Department of Housing
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,20,OVERTIME,6020000.0,2019,Office of Emergency Management and Communications
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,143,COURT REPORTING,38734.0,2019,Department of Law
LOCAL,0B21,TIF ADMINISTRATION,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,140,PROFESSIONAL AND TECHNICAL SERVICES,10000.0,2019,Department of Planning and Development
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,19718882.0,2019,Department of Buildings
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,5,SALARIES AND WAGES - ON PAYROLL,57262561.0,2019,Chicago Public Library
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,145,LEGAL EXPENSES,3530000.0,2019,Finance General
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,CITY COUNCIL,2155,COMM ON SP EVENTS/CULT AFF/REC,0,PERSONNEL SERVICES,162990.0,2019,City Council
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,9212,MULTI-FAMILY TROUBLED BUILDING INITIATIV,175000.0,2019,Department of Housing
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,2000.0,2019,City Council
GRANTS,0T80,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,197,TELEPHONE - MAINTENANCE,425.0,2019,Department of Family and Support Services
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,16132.0,2019,Department of Fleet and Facility Management
GRANTS,0T73,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,6,SALARY PROVISION,5395477.0,2019,Department of Family and Support Services
GRANTS,0U37,UNDERGROUND STORAGE TANK INSPECTION,41,HEALTH,2720,UNDERGROUND STORAGE TANK,6,SALARY PROVISION,261320.0,2019,Chicago Department of Public Health
CDBG,0J45,CDBG,21,HOUSING,2556,Developer Services,350,STATIONERY AND OFFICE SUPPLIES,1800.0,2019,Department of Housing
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,166,DUES  SUBSC & MEM,7685.0,2019,Chicago Fire Department
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,350,STATIONERY AND OFFICE SUPPLIES,52500.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,15,SCHEDULE SALARY ADJUSTMENTS,3156.0,2019,Chicago Department of Transportation
CDBG,0J45,CDBG,50,DFSS,2525,SENIOR SERVICES,135,DELEGATE AGENCIES,2456597.0,2019,Department of Family and Support Services
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,450,VEHICLES,238000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,348,BOOKS AND RELATED MATERIAL,100.0,2019,Chicago Police Board
GRANTS,0U73,UNDERGROUND STORAGE TANK INSPECTION,41,HEALTH,2720,UNDERGROUND STORAGE TANK,5,SALARIES AND WAGES - ON PAYROLL,365131.0,2019,Chicago Department of Public Health
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,175000.0,2019,Finance General
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,197,TELEPHONE - MAINTENANCE,4300.0,2019,Department of Family and Support Services
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,9438,REIMBURSEMENT - 2FM,300.0,2019,Department of Law
LOCAL,0200,WATER FUND,88,DWM,2005,COMMISSIONER'S OFFICE,140,PROFESSIONAL AND TECHNICAL SERVICES,3204678.0,2019,Department of Water Management
GRANTS,0U77,HIGH RISK INFANT FOLLOW-UP - STATE,41,HEALTH,280Z,High Risk Infant Follow-Up,6,SALARY PROVISION,291000.0,2019,Chicago Department of Public Health
GRANTS,0Y07,EARLY CHILDHOOD BLOCK GRANT,50,DFSS,2962,Early Childhood Block Grant,140,PROFESSIONAL AND TECHNICAL SERVICES,1159511.0,2019,Department of Family and Support Services
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,169,TECHNICAL MEETING COSTS,4500.0,2019,Chicago Department of Transportation
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,7930000.0,2019,Finance General
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,12972000.0,2019,Finance General
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,166,DUES  SUBSC & MEM,11479.0,2019,Department of Family and Support Services
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,197,TELEPHONE - MAINTENANCE,40000.0,2019,Chicago Department of Aviation
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,736112.0,2019,Finance General
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,4500.0,2019,Department of Cultural Affairs and Special Events
LOCAL,0740,O HARE REVENUE FUND,58,OEMC,2705,OEMC,5,SALARIES AND WAGES - ON PAYROLL,6222241.0,2019,Office of Emergency Management and Communications
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,360,REPAIR PARTS AND MATERIAL,1485687.0,2019,Department of Water Management
LOCAL,0314,SEWER FUND,67,BUILDINGS,2005,BUILDINGS,140,PROFESSIONAL AND TECHNICAL SERVICES,690000.0,2019,Department of Buildings
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,159,LEASE/PURCHASE EQUIPMENT,20892.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,26500.0,2019,City Council
GRANTS,0Z35,CHICAGO CULTURAL PLAN,23,DCASE,2848,SUMMERDANCE / WORLD MUSIC,140,PROFESSIONAL AND TECHNICAL SERVICES,25000.0,2019,Department of Cultural Affairs and Special Events
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,92072.0,2019,City Council
GRANTS,0U64,RYAN WHITE HIV CARE ACT PART A - EM REL.,41,HEALTH,2731,Ryan White HIV Care Act Part A,91,UNIFORM ALLOWANCE,600.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,91,UNIFORM ALLOWANCE,5081750.0,2019,Chicago Fire Department
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,313,CLEANING AND SANITATION SUPPLIES,450000.0,2019,Chicago Department of Aviation
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9805,FOR FESTIVAL PRODUCTION,175000.0,2019,Finance General
LOCAL,0314,SEWER FUND,28,TREASURER,2005,CITY TREASURER,138,IT MAINTENANCE,25000.0,2019,City Treasurer's Office
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,350,STATIONERY AND OFFICE SUPPLIES,21900.0,2019,Office of Emergency Management and Communications
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9982,POLICEMEN'S FUND PENSION ALLOCATION,18872000.0,2019,Finance General
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,9438,REIMBURSEMENT - 2FM,28000.0,2019,Department of Streets and Sanitation
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,20,OVERTIME,4018673.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,245,REIMBURSEMENT TO TRAVELERS,2234.0,2019,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,140,PROFESSIONAL AND TECHNICAL SERVICES,262271.0,2019,Chicago Animal Care and Control
GRANTS,0V62,EMERGENCY MANAGEMENT ASSISTANCE,58,OEMC,2820,EMERGENCY MGMT ASSISTANCE,6,SALARY PROVISION,618000.0,2019,Office of Emergency Management and Communications
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,63,FITNESS BENEFIT,25000.0,2019,Chicago Fire Department
GRANTS,0191,ASSET FORFEITURE - STATE,57,CPD,2817,ASSET FORFEITURE - STATE,445,TECHNICAL AND SCIENTIFIC EQUIPMENT,1673000.0,2019,Chicago Police Department
GRANTS,0U40,INTEGRATED HIV SURVEILLANCE AND PREV.,41,HEALTH,280Y,HIV Surveillance and Preventn,15,SCHEDULE SALARY ADJUSTMENTS,27965.0,2019,Chicago Department of Public Health
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,5,SALARIES AND WAGES - ON PAYROLL,1927813.0,2019,Department of Law
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,49,WORKERS' COMPENSATION,1050085.0,2019,Chicago Department of Aviation
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,188,VEHICLE TRACKING SERVICE,105880.0,2019,Department of Fleet and Facility Management
GRANTS,0U11,BREASTFEEDING PEER CONSELING,41,HEALTH,2983,BREASTFEEDING PEER COUNSELING,140,PROFESSIONAL AND TECHNICAL SERVICES,20000.0,2019,Chicago Department of Public Health
