FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2022 ORDINANCE (AMOUNT $)
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,12100.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,309.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1268.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,35801.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,7307.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1295.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1632.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2390.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,14867.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,4155.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,7596.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,126.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,948.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,821.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,288.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,3133.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1215.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,699622.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1898.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,173.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1269.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,20623.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,5813.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,601.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,54.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,1337.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,8045.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,2719.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,3321.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,105.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,397.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,322.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,173.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,1225.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1725.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,161885.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,4050.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,72.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,847.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,6538.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,9183.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,3876.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,254.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,457.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,3011.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,1330.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,1568.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,63.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,210.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,257.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,135.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,16.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,512.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1071726.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,7732.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,299.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,2116.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,16346.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,24085.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,10187.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1109.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,65.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2029.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,13674.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,3929.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,6424.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,210.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,732.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,642.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,635.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,160.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,2315.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,3190204.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,12346.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,39,STUDENT AS TRAINEES,37500.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,130,POSTAGE,5000.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,140,PROFESSIONAL AND TECHNICAL SERVICES,5500.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,152,ADVERTISING,1000.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,157,RENTAL EQUIPMENT AND SERVICES,10000.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,169,TECHNICAL MEETING COSTS,1000.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,270,LOCAL TRANSPORTATION,500.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,348,BOOKS AND RELATED MATERIAL,400.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,350,STATIONERY AND OFFICE SUPPLIES,5400.00
LOCAL,0200,WATER FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,136872.00
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,172140.00
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,1650.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,7001621.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,17,WARD STAFF WAGE ALLOWANCE,10026046.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,225000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,126,OFFICE CONVENIENCES,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,157,RENTAL EQUIPMENT AND SERVICES,27000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,165,GRAPHIC DESIGN SERV,1500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,340,MATERIAL AND SUPPLIES,7000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,5000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9008,Aldermanic Expense Allowance for Ordinary and Necessary Expenses Incurred in Connection with the Performance of an Alderman's Official Duties. Warrant...,6100000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9072,Contingent and Other Expenses for Corporate Purposes Not Otherwise Provided For. To Be Expended Under the Direction of the President Pro Tempore ...,4000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2005,CITY COUNCIL,9231,HUMAN INFRASTRUCTURE MENU,5000000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,0,PERSONNEL SERVICES,774070.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,130,POSTAGE,3000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,61520.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,143,COURT REPORTING,60000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,166,DUES  SUBSC & MEM,3000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,169,TECHNICAL MEETING COSTS,1500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,4000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,340,MATERIAL AND SUPPLIES,3500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,348,BOOKS AND RELATED MATERIAL,3000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,350,STATIONERY AND OFFICE SUPPLIES,35000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,700,CONTINGENCIES,2000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9006,LEGAL ASSISTANCE - COMMITTEE ON FINANCE,50000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2010,FINANCE,9010,For Legal  Technical  Medical and Professional Services  Appraisals  Consultants  Printers  Court Reporters  and Other Incidental Contractual Services...,35500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,276732.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2012,COFA,700,CONTINGENCIES,32644.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,0,PERSONNEL SERVICES,294000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,100,CONTRACTUAL SERVICES,15000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,300,COMMODITIES AND MATERIALS,12000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,400,EQUIPMENT,9500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2214,BUDGET AND GOVERNMENT OPS,700,CONTINGENCIES,15000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,0,PERSONNEL SERVICES,199500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,100,CONTRACTUAL SERVICES,1500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,0,PERSONNEL SERVICES,189000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,100,CONTRACTUAL SERVICES,200.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,300,COMMODITIES AND MATERIALS,500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2220,AVIATION,700,CONTINGENCIES,750.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,0,PERSONNEL SERVICES,150675.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,100,CONTRACTUAL SERVICES,46500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2225,LICENSE & CONSUMER PROTECTION,300,COMMODITIES AND MATERIALS,1500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,0,PERSONNEL SERVICES,221865.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2235,PUBLIC SAFETY,700,CONTINGENCIES,500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,0,PERSONNEL SERVICES,134631.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,100,CONTRACTUAL SERVICES,20000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2245,COMMITTEES AND RULES,300,COMMODITIES AND MATERIALS,500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,0,PERSONNEL SERVICES,404250.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,100,CONTRACTUAL SERVICES,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,300,COMMODITIES AND MATERIALS,500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,700,CONTINGENCIES,1000.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2257,ENVIRONMENTAL PROTECTION,0,PERSONNEL SERVICES,215460.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2257,ENVIRONMENTAL PROTECTION,300,COMMODITIES AND MATERIALS,800.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2258,ETHICS & GOVERNMENT OVERSIGHT,0,PERSONNEL SERVICES,190255.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2258,ETHICS & GOVERNMENT OVERSIGHT,300,COMMODITIES AND MATERIALS,1500.00
LOCAL,0100,CORPORATE FUND,15,COUNCIL,2260,EDUCATION & CHILD DEVELOPMENT,0,PERSONNEL SERVICES,176806.00
