FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2023 ORDINANCE (AMOUNT $)
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago,200000.00
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,439584.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,7309626.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,71454.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,Overtime,3000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,1879.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,For Professional Services for Information Technology Maintenance,121349.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,353253.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,52500.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,958008.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,6000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,48779.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,129501.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",18282.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,140874.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,28435.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,64975.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,15821.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,31025.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,2506.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,5423.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,1273.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,28326.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",88477.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,97060.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,"For Services Provided by the Department of Assets, Information, and Services",2000.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1135473.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,9677.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,309.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1268.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,35801.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,7307.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1295.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,1632.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",2390.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,20868.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,4155.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,7596.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,126.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,948.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,386.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,821.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,288.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,3133.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1215.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,686338.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,3653.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,173.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1269.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,9808.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,20623.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,5813.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,601.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,54.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",1337.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,12173.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,2719.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,3321.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,105.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,397.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,386.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,322.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,173.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,1225.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,Contingencies,1725.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,210672.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,6140.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,72.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,847.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,6538.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,9183.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,3876.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,254.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",457.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,5217.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,1330.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,1568.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,63.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,210.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,257.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,135.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,16.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,512.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,1108004.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,11427.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,299.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,2116.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,16346.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,24085.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,10187.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,Lease Purchase Agreements for Equipment and Machinery,1109.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,Repair/Maintenance of Equipment,65.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,"Dues, Subscriptions and Memberships",2029.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,Technical Meeting Costs,20868.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,Mobile Communication Services,3929.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,Telephone - Non-Centrex Billings,6424.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,Reimbursement to Travelers,210.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,Local Transportation,732.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,Gasoline,642.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,Material and Supplies,635.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,Books and Related Material,160.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,Stationery and Office Supplies,2315.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,3245030.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,16347.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0039,For the Employment of Students as Trainees,37500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0130,Postage,5000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,5500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0152,Advertising,1000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0157,Rental of Equipment and Services,10000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0169,Technical Meeting Costs,1000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0270,Local Transportation,500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0348,Books and Related Material,400.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0350,Stationery and Office Supplies,5400.00
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,241596.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,Salaries and Wages - on Payroll,183600.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,Schedule Salary Adjustments,1074.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0005,Salaries and Wages - on Payroll,7439952.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0017,Wage Allowance for Aldermanic Ward Staff (up to Three Full-Time Salaried Employees Per Alderman),10326827.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0039,For the Employment of Students as Trainees,225000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0126,Office Conveniences,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0157,Rental of Equipment and Services,27000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0165,Graphic Design Services,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0340,Material and Supplies,7000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0700,Contingencies,5000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,0982,For Expense in Connection with Recognition and Awards to Citizens of Chicago for Acts of Heroism. To Be Expended on Order of the City Council,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,9008,Aldermanic Expense Allowance for Ordinary and Necessary Expenses Incurred in Connection with the Performance of an Alderman's Official Duties. Warrant...,6100000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,9072,Contingent and Other Expenses for Corporate Purposes Not Otherwise Provided For. To Be Expended Under the Direction of the President Pro Tempore ...,4000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,9231,Human Infrastructure Menu,5000000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0000,Personnel Services,797292.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0130,Postage,3000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,61520.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0143,Court Reporting,60000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0157,Rental of Equipment and Services,65000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0166,"Dues, Subscriptions and Memberships",3000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0169,Technical Meeting Costs,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0229,Transportation and Expense Allowance,4000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0340,Material and Supplies,3500.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0348,Books and Related Material,3000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0350,Stationery and Office Supplies,35000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,0700,Contingencies,2000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9005,For the Payment of Legal Fees Pursuant to Sec. 2-152-170 of the Municipal Code. To Be Expended at the direction of the Committee on Finance,50000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9006,For Legal Assistance to the City Council. To Be Expended at the Direction of the Chairman of the Committee on Finance,50000.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,9010,For Legal  Technical  Medical and Professional Services  Appraisals  Consultants  Printers  Court Reporters  and Other Incidental Contractual Services...,35500.00
LOCAL,0100,Corporate Fund,15,City Council,2012,Council Office of Financial Analysis,0005,Salaries and Wages - on Payroll,285036.00
LOCAL,0100,Corporate Fund,15,City Council,2012,Council Office of Financial Analysis,0700,Contingencies,32644.00
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0000,Personnel Services,302820.00
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0100,Contractual Services,15000.00
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0300,Commodities and Materials,12000.00
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0400,Equipment,9500.00
LOCAL,0100,Corporate Fund,15,City Council,2214,Committee on the Budget and Government Operations,0700,Contingencies,15000.00
LOCAL,0100,Corporate Fund,15,City Council,2216,Committee on Contracting  Oversight  and Equity,0000,Personnel Services,205485.00
LOCAL,0100,Corporate Fund,15,City Council,2216,Committee on Contracting  Oversight  and Equity,0100,Contractual Services,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2220,Committee on Aviation,0000,Personnel Services,194670.00
LOCAL,0100,Corporate Fund,15,City Council,2220,Committee on Aviation,0100,Contractual Services,200.00
LOCAL,0100,Corporate Fund,15,City Council,2220,Committee on Aviation,0300,Commodities and Materials,500.00
LOCAL,0100,Corporate Fund,15,City Council,2220,Committee on Aviation,0700,Contingencies,750.00
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0000,Personnel Services,155195.00
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0100,Contractual Services,46500.00
LOCAL,0100,Corporate Fund,15,City Council,2225,Committee on License and Consumer Protection,0300,Commodities and Materials,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0000,Personnel Services,228520.00
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0100,Contractual Services,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0300,Commodities and Materials,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2235,Committee on Public Safety,0700,Contingencies,500.00
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0000,Personnel Services,138670.00
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0100,Contractual Services,20000.00
LOCAL,0100,Corporate Fund,15,City Council,2245,Committee on Committees and Rules,0300,Commodities and Materials,500.00
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0000,Personnel Services,416377.00
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0100,Contractual Services,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0300,Commodities and Materials,500.00
LOCAL,0100,Corporate Fund,15,City Council,2255,Committee on Economic  Capital and Technology Development,0700,Contingencies,1000.00
LOCAL,0100,Corporate Fund,15,City Council,2257,Committee on Environmental Protection and Energy,0000,Personnel Services,221924.00
LOCAL,0100,Corporate Fund,15,City Council,2257,Committee on Environmental Protection and Energy,0300,Commodities and Materials,800.00
LOCAL,0100,Corporate Fund,15,City Council,2258,Committee on Ethics and Government Oversight,0000,Personnel Services,195963.00
LOCAL,0100,Corporate Fund,15,City Council,2258,Committee on Ethics and Government Oversight,0300,Commodities and Materials,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2260,Committee on Education and Child Development,0000,Personnel Services,182110.00
LOCAL,0100,Corporate Fund,15,City Council,2260,Committee on Education and Child Development,0100,Contractual Services,3000.00
LOCAL,0100,Corporate Fund,15,City Council,2260,Committee on Education and Child Development,0700,Contingencies,2000.00
LOCAL,0100,Corporate Fund,15,City Council,2275,Committee on Zoning  Landmarks and Building Standards,0000,Personnel Services,345963.00
LOCAL,0100,Corporate Fund,15,City Council,2275,Committee on Zoning  Landmarks and Building Standards,0100,Contractual Services,74700.00
LOCAL,0100,Corporate Fund,15,City Council,2275,Committee on Zoning  Landmarks and Building Standards,0300,Commodities and Materials,15300.00
LOCAL,0100,Corporate Fund,15,City Council,2277,Committee on Health and Human Relations,0000,Personnel Services,140595.00
LOCAL,0100,Corporate Fund,15,City Council,2277,Committee on Health and Human Relations,0100,Contractual Services,7000.00
LOCAL,0100,Corporate Fund,15,City Council,2277,Committee on Health and Human Relations,0300,Commodities and Materials,4000.00
LOCAL,0100,Corporate Fund,15,City Council,2278,Committee on Immigrant and Refugee Rights,0000,Personnel Services,118965.00
LOCAL,0100,Corporate Fund,15,City Council,2278,Committee on Immigrant and Refugee Rights,0300,Commodities and Materials,1500.00
LOCAL,0100,Corporate Fund,15,City Council,2280,Committee on Housing and Real Estate,0000,Personnel Services,220743.00
LOCAL,0100,Corporate Fund,15,City Council,2280,Committee on Housing and Real Estate,0300,Commodities and Materials,8000.00
LOCAL,0100,Corporate Fund,15,City Council,2290,Committee on Workforce Development and Audit,0000,Personnel Services,332150.00
LOCAL,0100,Corporate Fund,15,City Council,2290,Committee on Workforce Development and Audit,0100,Contractual Services,2980.00
LOCAL,0100,Corporate Fund,15,City Council,2290,Committee on Workforce Development and Audit,0300,Commodities and Materials,5000.00
LOCAL,0100,Corporate Fund,15,City Council,2295,Legislative Reference Bureau,0000,Personnel Services,390430.00
LOCAL,0100,Corporate Fund,15,City Council,2295,Legislative Reference Bureau,0100,Contractual Services,3000.00
LOCAL,0100,Corporate Fund,15,City Council,2295,Legislative Reference Bureau,0300,Commodities and Materials,13000.00
LOCAL,0300,Vehicle Tax Fund,15,City Council,2230,Committee on Transportation and Public Way,0000,Personnel Services,302820.00
LOCAL,0300,Vehicle Tax Fund,15,City Council,2230,Committee on Transportation and Public Way,0100,Contractual Services,15000.00
LOCAL,0300,Vehicle Tax Fund,15,City Council,2230,Committee on Transportation and Public Way,0300,Commodities and Materials,15000.00
LOCAL,0300,Vehicle Tax Fund,15,City Council,2265,Committee on Pedestrian and Traffic Safety,0000,Personnel Services,302820.00
LOCAL,0300,Vehicle Tax Fund,15,City Council,2265,Committee on Pedestrian and Traffic Safety,0300,Commodities and Materials,5000.00
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,15,City Council,2155,Committee on Special Events  Cultural Affairs and Recreation,0000,Personnel Services,176274.00
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,15,City Council,2155,Committee on Special Events  Cultural Affairs and Recreation,0300,Commodities and Materials,3720.00
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0005,Salaries and Wages - on Payroll,2121351.00
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0015,Schedule Salary Adjustments,10860.00
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0039,For the Employment of Students as Trainees,78000.00
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0135,For Delegate Agencies,7087898.00
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,220250.00
